description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
"Mensafood Pasta salad with olives, sun‑dried tomatoes and basil, served with wiener sausages or organic tofu mini‑sausages",,,,,,aug/mensa-rempartstrae_schneller-teller_aug0019.jpg
"Mensafood Hamburger TS with beef, cheese, tomato, lettuce; French fries",,,,,,aug/mensa-littenweiler_essen-2_aug0028.jpg
"Mensafood Hamburger TS with beef, cheese, tomato, lettuce; French fries",,,,,,aug/mensa-littenweiler_essen-2_aug0029.jpg
"Mensafood Hamburger TS with beef, cheese, tomato, lettuce; French fries",,,,,,aug/mensa-littenweiler_essen-2_aug0030.jpg
"Mensafood Hamburger TS with beef, cheese, tomato, lettuce; French fries",,,,,,aug/mensa-littenweiler_essen-2_aug0031.jpg
Mensafood Kaiserschmarrn (shredded pancake) with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0032.jpg
Mensafood Kaiserschmarrn (shredded pancake) with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0033.jpg
Mensafood Kaiserschmarrn (shredded pancake) with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0034.jpg
Mensafood Kaiserschmarrn (shredded pancake) with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0035.jpg
Mensafood Vegetable‑filled cannelloni with cheese crust; tomato sauce; herb pesto,,,,,,aug/mensa-rempartstrae_essen-1_aug0040.jpg
Mensafood Vegetable‑filled cannelloni with cheese crust; tomato sauce; herb pesto,,,,,,aug/mensa-rempartstrae_essen-1_aug0041.jpg
Mensafood Vegetable‑filled cannelloni with cheese crust; tomato sauce; herb pesto,,,,,,aug/mensa-rempartstrae_essen-1_aug0042.jpg
Mensafood Vegetable‑filled cannelloni with cheese crust; tomato sauce; herb pesto,,,,,,aug/mensa-rempartstrae_essen-1_aug0043.jpg
Mensafood Pan‑fried pork gyros; herb yoghurt dip; spiced Indian rice; carrot coleslaw,,,,,,aug/mensa-flugplatz_essen-2_aug0036.jpg
Mensafood Pan‑fried pork gyros; herb yoghurt dip; spiced Indian rice; carrot coleslaw,,,,,,aug/mensa-flugplatz_essen-2_aug0037.jpg
Mensafood Pan‑fried pork gyros; herb yoghurt dip; spiced Indian rice; carrot coleslaw,,,,,,aug/mensa-flugplatz_essen-2_aug0038.jpg
Mensafood Pan‑fried pork gyros; herb yoghurt dip; spiced Indian rice; carrot coleslaw,,,,,,aug/mensa-flugplatz_essen-2_aug0039.jpg
Mensafood Soy gyros; tzatziki; vegetable rice; carrot coleslaw,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0044.jpg
Mensafood Soy gyros; tzatziki; vegetable rice; carrot coleslaw,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0045.jpg
Mensafood Soy gyros; tzatziki; vegetable rice; carrot coleslaw,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0046.jpg
Mensafood Soy gyros; tzatziki; vegetable rice; carrot coleslaw,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0047.jpg
Mensafood Stuffed peppers; baked potato and sweet‑potato wedges; Spanish beans,,,,,,aug/mensa-flugplatz_essen-1_aug0052.jpg
Mensafood Stuffed peppers; baked potato and sweet‑potato wedges; Spanish beans,,,,,,aug/mensa-flugplatz_essen-1_aug0053.jpg
Mensafood Stuffed peppers; baked potato and sweet‑potato wedges; Spanish beans,,,,,,aug/mensa-flugplatz_essen-1_aug0054.jpg
Mensafood Stuffed peppers; baked potato and sweet‑potato wedges; Spanish beans,,,,,,aug/mensa-flugplatz_essen-1_aug0055.jpg
Mensafood Falafel with mango chutney; fried vegetable rice nasi goreng,,,,,,aug/mensa-flugplatz_essen-1_aug0060.jpg
Mensafood Falafel with mango chutney; fried vegetable rice nasi goreng,,,,,,aug/mensa-flugplatz_essen-1_aug0061.jpg
Mensafood Falafel with mango chutney; fried vegetable rice nasi goreng,,,,,,aug/mensa-flugplatz_essen-1_aug0062.jpg
Mensafood Falafel with mango chutney; fried vegetable rice nasi goreng,,,,,,aug/mensa-flugplatz_essen-1_aug0063.jpg
Mensafood Spicy vegetable coconut soup with organic tofu; baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0048.jpg
Mensafood Spicy vegetable coconut soup with organic tofu; baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0049.jpg
Mensafood Spicy vegetable coconut soup with organic tofu; baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0050.jpg
Mensafood Spicy vegetable coconut soup with organic tofu; baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0051.jpg
Mensafood Superfood salad with organic smoked tofu,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0056.jpg
Mensafood Superfood salad with organic smoked tofu,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0057.jpg
Mensafood Superfood salad with organic smoked tofu,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0058.jpg
Mensafood Superfood salad with organic smoked tofu,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0059.jpg
Mensafood Miso soup (vegetarian and with meat options); baguette,,,,,,aug/mensa-flugplatz_essen-3_aug0076.jpg
Mensafood Miso soup (vegetarian and with meat options); baguette,,,,,,aug/mensa-flugplatz_essen-3_aug0077.jpg
Mensafood Miso soup (vegetarian and with meat options); baguette,,,,,,aug/mensa-flugplatz_essen-3_aug0078.jpg
Mensafood Miso soup (vegetarian and with meat options); baguette,,,,,,aug/mensa-flugplatz_essen-3_aug0079.jpg
Mensafood Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,,,,,,aug/mensa-rempartstrae_wochenangebot_aug0068.jpg
Mensafood Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,,,,,,aug/mensa-rempartstrae_wochenangebot_aug0069.jpg
Mensafood Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,,,,,,aug/mensa-rempartstrae_wochenangebot_aug0070.jpg
Mensafood Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,,,,,,aug/mensa-rempartstrae_wochenangebot_aug0071.jpg
Mensafood Swiss‑chard and lentil curry with lemon leaves; basmati rice; naan bread,,,,,,aug/mensa-rempartstrae_essen-1_aug0064.jpg
Mensafood Swiss‑chard and lentil curry with lemon leaves; basmati rice; naan bread,,,,,,aug/mensa-rempartstrae_essen-1_aug0065.jpg
Mensafood Swiss‑chard and lentil curry with lemon leaves; basmati rice; naan bread,,,,,,aug/mensa-rempartstrae_essen-1_aug0066.jpg
Mensafood Swiss‑chard and lentil curry with lemon leaves; basmati rice; naan bread,,,,,,aug/mensa-rempartstrae_essen-1_aug0067.jpg
Mensafood Rigatoni with asparagus vegetable ragout; herb pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0072.jpg
Mensafood Rigatoni with asparagus vegetable ragout; herb pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0073.jpg
Mensafood Rigatoni with asparagus vegetable ragout; herb pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0074.jpg
Mensafood Rigatoni with asparagus vegetable ragout; herb pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0075.jpg
Mensafood Ravioli filled with ricotta and spinach; pesto; pearl‑barley risotto; sheep’s cheese topping; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0080.jpg
Mensafood Ravioli filled with ricotta and spinach; pesto; pearl‑barley risotto; sheep’s cheese topping; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0081.jpg
Mensafood Ravioli filled with ricotta and spinach; pesto; pearl‑barley risotto; sheep’s cheese topping; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0082.jpg
Mensafood Ravioli filled with ricotta and spinach; pesto; pearl‑barley risotto; sheep’s cheese topping; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0083.jpg
Mensafood Mango‑wheat tabbouleh with herbs; harissa dip; baguette,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0084.jpg
Mensafood Mango‑wheat tabbouleh with herbs; harissa dip; baguette,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0085.jpg
Mensafood Mango‑wheat tabbouleh with herbs; harissa dip; baguette,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0086.jpg
Mensafood Mango‑wheat tabbouleh with herbs; harissa dip; baguette,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0087.jpg
Mensafood Vegetable‑filled cannelloni with cheese crust; tomato sauce; parsley pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0092.jpg
Mensafood Vegetable‑filled cannelloni with cheese crust; tomato sauce; parsley pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0093.jpg
Mensafood Vegetable‑filled cannelloni with cheese crust; tomato sauce; parsley pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0094.jpg
Mensafood Vegetable‑filled cannelloni with cheese crust; tomato sauce; parsley pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0095.jpg
"Mensafood Lemon‑herb noodles with tomatoes, rocket and basil; organic smoked tofu; tomato sugo; parsley pesto",,,,,,aug/mensa-littenweiler_essen-1_aug0088.jpg
"Mensafood Lemon‑herb noodles with tomatoes, rocket and basil; organic smoked tofu; tomato sugo; parsley pesto",,,,,,aug/mensa-littenweiler_essen-1_aug0089.jpg
"Mensafood Lemon‑herb noodles with tomatoes, rocket and basil; organic smoked tofu; tomato sugo; parsley pesto",,,,,,aug/mensa-littenweiler_essen-1_aug0090.jpg
"Mensafood Lemon‑herb noodles with tomatoes, rocket and basil; organic smoked tofu; tomato sugo; parsley pesto",,,,,,aug/mensa-littenweiler_essen-1_aug0091.jpg
Mensafood Zucchini‑ricotta balls; red pepper ragout; pasta risotto,,,,,,aug/mensa-rempartstrae_essen-1_aug0096.jpg
Mensafood Zucchini‑ricotta balls; red pepper ragout; pasta risotto,,,,,,aug/mensa-rempartstrae_essen-1_aug0097.jpg
Mensafood Zucchini‑ricotta balls; red pepper ragout; pasta risotto,,,,,,aug/mensa-rempartstrae_essen-1_aug0098.jpg
Mensafood Zucchini‑ricotta balls; red pepper ragout; pasta risotto,,,,,,aug/mensa-rempartstrae_essen-1_aug0099.jpg
Mensafood Mixed salad plate; cream cheese spread; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0124.jpg
Mensafood Mixed salad plate; cream cheese spread; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0125.jpg
Mensafood Mixed salad plate; cream cheese spread; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0126.jpg
Mensafood Mixed salad plate; cream cheese spread; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0127.jpg
Mensafood Vegan filet strips; hummus; vegetable salad; flatbread,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0104.jpg
Mensafood Vegan filet strips; hummus; vegetable salad; flatbread,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0105.jpg
Mensafood Vegan filet strips; hummus; vegetable salad; flatbread,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0106.jpg
Mensafood Vegan filet strips; hummus; vegetable salad; flatbread,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0107.jpg
Mensafood Spaghetti with wheat‑vegetable Bolognese,,,,,,aug/mensa-littenweiler_essen-1_aug0120.jpg
Mensafood Spaghetti with wheat‑vegetable Bolognese,,,,,,aug/mensa-littenweiler_essen-1_aug0121.jpg
Mensafood Spaghetti with wheat‑vegetable Bolognese,,,,,,aug/mensa-littenweiler_essen-1_aug0122.jpg
Mensafood Spaghetti with wheat‑vegetable Bolognese,,,,,,aug/mensa-littenweiler_essen-1_aug0123.jpg
Mensafood Turkey‑zucchini kofta; lentil rice with crispy onions; yoghurt sauce; tomato‑cucumber salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0100.jpg
Mensafood Turkey‑zucchini kofta; lentil rice with crispy onions; yoghurt sauce; tomato‑cucumber salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0101.jpg
Mensafood Turkey‑zucchini kofta; lentil rice with crispy onions; yoghurt sauce; tomato‑cucumber salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0102.jpg
Mensafood Turkey‑zucchini kofta; lentil rice with crispy onions; yoghurt sauce; tomato‑cucumber salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0103.jpg
Mensafood Miso soup (vegetarian or with meat); baguette,,,,,,aug/mensa-institutsviertel_essen-3_aug0108.jpg
Mensafood Miso soup (vegetarian or with meat); baguette,,,,,,aug/mensa-institutsviertel_essen-3_aug0109.jpg
Mensafood Miso soup (vegetarian or with meat); baguette,,,,,,aug/mensa-institutsviertel_essen-3_aug0110.jpg
Mensafood Miso soup (vegetarian or with meat); baguette,,,,,,aug/mensa-institutsviertel_essen-3_aug0111.jpg
Mensafood Potato pancakes with pea guacamole; herb yoghurt dip,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0116.jpg
Mensafood Potato pancakes with pea guacamole; herb yoghurt dip,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0117.jpg
Mensafood Potato pancakes with pea guacamole; herb yoghurt dip,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0118.jpg
Mensafood Potato pancakes with pea guacamole; herb yoghurt dip,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0119.jpg
Mensafood Mango‑wheat tabbouleh with herbs; avocado dip; seeded baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0112.jpg
Mensafood Mango‑wheat tabbouleh with herbs; avocado dip; seeded baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0113.jpg
Mensafood Mango‑wheat tabbouleh with herbs; avocado dip; seeded baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0114.jpg
Mensafood Mango‑wheat tabbouleh with herbs; avocado dip; seeded baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0115.jpg
Mensafood Poultry pan gyros; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,,,,,,aug/mensa-flugplatz_essen-2_aug0128.jpg
Mensafood Poultry pan gyros; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,,,,,,aug/mensa-flugplatz_essen-2_aug0129.jpg
Mensafood Poultry pan gyros; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,,,,,,aug/mensa-flugplatz_essen-2_aug0130.jpg
Mensafood Poultry pan gyros; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,,,,,,aug/mensa-flugplatz_essen-2_aug0131.jpg
"Mensafood Mixed salad with tomato, mozzarella and basil; baguette",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0144.jpg
"Mensafood Mixed salad with tomato, mozzarella and basil; baguette",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0145.jpg
"Mensafood Mixed salad with tomato, mozzarella and basil; baguette",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0146.jpg
"Mensafood Mixed salad with tomato, mozzarella and basil; baguette",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0147.jpg
Mensafood Lentil Bolognese with spaghetti; rocket pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0136.jpg
Mensafood Lentil Bolognese with spaghetti; rocket pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0137.jpg
Mensafood Lentil Bolognese with spaghetti; rocket pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0138.jpg
Mensafood Lentil Bolognese with spaghetti; rocket pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0139.jpg
Mensafood Rice pudding with peach compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0148.jpg
Mensafood Rice pudding with peach compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0149.jpg
Mensafood Rice pudding with peach compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0150.jpg
Mensafood Rice pudding with peach compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0151.jpg
"Mensafood Falafel quinoa bowl with organic hummus, mojo dip, baked sweet potatoes, cauliflower salad, soy beans and cranberry red‑cabbage salad",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0132.jpg
"Mensafood Falafel quinoa bowl with organic hummus, mojo dip, baked sweet potatoes, cauliflower salad, soy beans and cranberry red‑cabbage salad",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0133.jpg
"Mensafood Falafel quinoa bowl with organic hummus, mojo dip, baked sweet potatoes, cauliflower salad, soy beans and cranberry red‑cabbage salad",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0134.jpg
"Mensafood Falafel quinoa bowl with organic hummus, mojo dip, baked sweet potatoes, cauliflower salad, soy beans and cranberry red‑cabbage salad",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0135.jpg
Mensafood Vegetable gnocchi pan with pink sauce; sheep’s cheese topping,,,,,,aug/mensa-rempartstrae_essen-1_aug0156.jpg
Mensafood Vegetable gnocchi pan with pink sauce; sheep’s cheese topping,,,,,,aug/mensa-rempartstrae_essen-1_aug0157.jpg
Mensafood Vegetable gnocchi pan with pink sauce; sheep’s cheese topping,,,,,,aug/mensa-rempartstrae_essen-1_aug0158.jpg
Mensafood Vegetable gnocchi pan with pink sauce; sheep’s cheese topping,,,,,,aug/mensa-rempartstrae_essen-1_aug0159.jpg
Mensafood Tortellini filled with ricotta and spinach in lemon‑wild‑garlic sauce; burst tomatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0140.jpg
Mensafood Tortellini filled with ricotta and spinach in lemon‑wild‑garlic sauce; burst tomatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0141.jpg
Mensafood Tortellini filled with ricotta and spinach in lemon‑wild‑garlic sauce; burst tomatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0142.jpg
Mensafood Tortellini filled with ricotta and spinach in lemon‑wild‑garlic sauce; burst tomatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0143.jpg
"Mensafood Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",,,,,,aug/mensa-flugplatz_wochenangebot_aug0152.jpg
"Mensafood Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",,,,,,aug/mensa-flugplatz_wochenangebot_aug0153.jpg
"Mensafood Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",,,,,,aug/mensa-flugplatz_wochenangebot_aug0154.jpg
"Mensafood Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",,,,,,aug/mensa-flugplatz_wochenangebot_aug0155.jpg
Mensafood Älpler macaroni with organic smoked tofu and tomato sauce; rice pudding made with cow’s milk available as a refill,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0160.jpg
Mensafood Älpler macaroni with organic smoked tofu and tomato sauce; rice pudding made with cow’s milk available as a refill,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0161.jpg
Mensafood Älpler macaroni with organic smoked tofu and tomato sauce; rice pudding made with cow’s milk available as a refill,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0162.jpg
Mensafood Älpler macaroni with organic smoked tofu and tomato sauce; rice pudding made with cow’s milk available as a refill,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0163.jpg
Mensafood Thick‑cut fries with surprise topping,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0164.jpg
Mensafood Thick‑cut fries with surprise topping,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0165.jpg
Mensafood Thick‑cut fries with surprise topping,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0166.jpg
Mensafood Thick‑cut fries with surprise topping,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0167.jpg
Mensafood Stuffed peppers; lattice potatoes; Spanish beans,,,,,,aug/mensa-rempartstrae_essen-1_aug0176.jpg
Mensafood Stuffed peppers; lattice potatoes; Spanish beans,,,,,,aug/mensa-rempartstrae_essen-1_aug0177.jpg
Mensafood Stuffed peppers; lattice potatoes; Spanish beans,,,,,,aug/mensa-rempartstrae_essen-1_aug0178.jpg
Mensafood Stuffed peppers; lattice potatoes; Spanish beans,,,,,,aug/mensa-rempartstrae_essen-1_aug0179.jpg
Mensafood Chicken burger; avocado dip; rissolé potatoes,,,,,,aug/mensa-flugplatz_essen-2_aug0172.jpg
Mensafood Chicken burger; avocado dip; rissolé potatoes,,,,,,aug/mensa-flugplatz_essen-2_aug0173.jpg
Mensafood Chicken burger; avocado dip; rissolé potatoes,,,,,,aug/mensa-flugplatz_essen-2_aug0174.jpg
Mensafood Chicken burger; avocado dip; rissolé potatoes,,,,,,aug/mensa-flugplatz_essen-2_aug0175.jpg
Mensafood Potato pancakes with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0184.jpg
Mensafood Potato pancakes with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0185.jpg
Mensafood Potato pancakes with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0186.jpg
Mensafood Potato pancakes with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0187.jpg
Mensafood Grönsaksbullar (vegetable meatballs) with tomato ragout; herb cheese spaetzle,,,,,,aug/mensa-flugplatz_essen-2_aug0188.jpg
Mensafood Grönsaksbullar (vegetable meatballs) with tomato ragout; herb cheese spaetzle,,,,,,aug/mensa-flugplatz_essen-2_aug0189.jpg
Mensafood Grönsaksbullar (vegetable meatballs) with tomato ragout; herb cheese spaetzle,,,,,,aug/mensa-flugplatz_essen-2_aug0190.jpg
Mensafood Grönsaksbullar (vegetable meatballs) with tomato ragout; herb cheese spaetzle,,,,,,aug/mensa-flugplatz_essen-2_aug0191.jpg
Mensafood Saag Dhansak – spinach and lentil curry; basmati rice; yoghurt dip; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0168.jpg
Mensafood Saag Dhansak – spinach and lentil curry; basmati rice; yoghurt dip; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0169.jpg
Mensafood Saag Dhansak – spinach and lentil curry; basmati rice; yoghurt dip; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0170.jpg
Mensafood Saag Dhansak – spinach and lentil curry; basmati rice; yoghurt dip; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0171.jpg
Mensafood Pancake with julienned vegetables; asparagus vegetable ragout,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0180.jpg
Mensafood Pancake with julienned vegetables; asparagus vegetable ragout,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0181.jpg
Mensafood Pancake with julienned vegetables; asparagus vegetable ragout,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0182.jpg
Mensafood Pancake with julienned vegetables; asparagus vegetable ragout,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0183.jpg
Mensafood Vegetable lasagne with olives and sheep’s cheese; pesto,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0192.jpg
Mensafood Vegetable lasagne with olives and sheep’s cheese; pesto,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0193.jpg
Mensafood Vegetable lasagne with olives and sheep’s cheese; pesto,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0194.jpg
Mensafood Vegetable lasagne with olives and sheep’s cheese; pesto,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0195.jpg
Mensafood Spaghetti with vegetable Bolognese; pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0200.jpg
Mensafood Spaghetti with vegetable Bolognese; pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0201.jpg
Mensafood Spaghetti with vegetable Bolognese; pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0202.jpg
Mensafood Spaghetti with vegetable Bolognese; pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0203.jpg
Mensafood Italian pasta bake with vegetables; tomato sauce; herb pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0212.jpg
Mensafood Italian pasta bake with vegetables; tomato sauce; herb pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0213.jpg
Mensafood Italian pasta bake with vegetables; tomato sauce; herb pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0214.jpg
Mensafood Italian pasta bake with vegetables; tomato sauce; herb pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0215.jpg
Mensafood Aglio spaghetti with sun‑dried tomatoes,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0196.jpg
Mensafood Aglio spaghetti with sun‑dried tomatoes,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0197.jpg
Mensafood Aglio spaghetti with sun‑dried tomatoes,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0198.jpg
Mensafood Aglio spaghetti with sun‑dried tomatoes,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0199.jpg
Mensafood Fried organic tofu with tomato‑ginger chutney; Thai‑style noodles,,,,,,aug/mensa-rempartstrae_essen-1_aug0208.jpg
Mensafood Fried organic tofu with tomato‑ginger chutney; Thai‑style noodles,,,,,,aug/mensa-rempartstrae_essen-1_aug0209.jpg
Mensafood Fried organic tofu with tomato‑ginger chutney; Thai‑style noodles,,,,,,aug/mensa-rempartstrae_essen-1_aug0210.jpg
Mensafood Fried organic tofu with tomato‑ginger chutney; Thai‑style noodles,,,,,,aug/mensa-rempartstrae_essen-1_aug0211.jpg
Mensafood Bernese‑style minced steak with pepper cream sauce; mashed potatoes; carrot‑pea vegetables,,,,,,aug/mensa-flugplatz_essen-2_aug0204.jpg
Mensafood Bernese‑style minced steak with pepper cream sauce; mashed potatoes; carrot‑pea vegetables,,,,,,aug/mensa-flugplatz_essen-2_aug0205.jpg
Mensafood Bernese‑style minced steak with pepper cream sauce; mashed potatoes; carrot‑pea vegetables,,,,,,aug/mensa-flugplatz_essen-2_aug0206.jpg
Mensafood Bernese‑style minced steak with pepper cream sauce; mashed potatoes; carrot‑pea vegetables,,,,,,aug/mensa-flugplatz_essen-2_aug0207.jpg
Mensafood Vegetarian sliced “meat” in creamy mushroom sauce; potato rösti; colourful pan‑fried vegetables,,,,,,aug/mensa-rempartstrae_essen-1_aug0216.jpg
Mensafood Vegetarian sliced “meat” in creamy mushroom sauce; potato rösti; colourful pan‑fried vegetables,,,,,,aug/mensa-rempartstrae_essen-1_aug0217.jpg
Mensafood Vegetarian sliced “meat” in creamy mushroom sauce; potato rösti; colourful pan‑fried vegetables,,,,,,aug/mensa-rempartstrae_essen-1_aug0218.jpg
Mensafood Vegetarian sliced “meat” in creamy mushroom sauce; potato rösti; colourful pan‑fried vegetables,,,,,,aug/mensa-rempartstrae_essen-1_aug0219.jpg
Mensafood Spaghetti Bolognese with organic beef; grated hard cheese,,,,,,aug/mensa-rempartstrae_essen-2_aug0220.jpg
Mensafood Spaghetti Bolognese with organic beef; grated hard cheese,,,,,,aug/mensa-rempartstrae_essen-2_aug0221.jpg
Mensafood Spaghetti Bolognese with organic beef; grated hard cheese,,,,,,aug/mensa-rempartstrae_essen-2_aug0222.jpg
Mensafood Spaghetti Bolognese with organic beef; grated hard cheese,,,,,,aug/mensa-rempartstrae_essen-2_aug0223.jpg
Mensafood Texas skillet with soy strips and red beans; paprika dip; country potatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0224.jpg
Mensafood Texas skillet with soy strips and red beans; paprika dip; country potatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0225.jpg
Mensafood Texas skillet with soy strips and red beans; paprika dip; country potatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0226.jpg
Mensafood Texas skillet with soy strips and red beans; paprika dip; country potatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0227.jpg
